,count,mean,std,min,p50,p90,p95,max
cpu_request,23871.0,52.473,37.38,2.0,64.0,96.0,96.0,192.0
gpu_request,23871.0,0.309,0.462,0.0,0.0,1.0,1.0,1.0
rdma_request,23871.0,20.807,27.237,1.0,25.0,51.0,100.0,100.0
memory_request,23871.0,265.821,189.956,16.0,320.0,480.0,480.0,1000.0
disk_request,23871.0,308.29,185.038,80.0,255.0,680.0,680.0,996.0
