app_name,instances,role_cn,role_hn,cpu_req_sum,gpu_req_sum,rdma_req_sum,mem_req_sum,disk_req_sum,max_ipn_mode,sched_delay_p50,runtime_p50
app_8,43,34,9,3336,9,259,16680.0,9330.0,-1,0.0,70078.0
app_80,12,9,3,600,3,84,3198.0,3570.0,-1,22.5,130.0
app_81,24,17,7,1144,7,192,5552.0,5485.0,-1,2.5,116920.5
app_82,412,360,52,23456,52,1660,117280.0,100605.0,-1,0.0,42483.0
app_83,29,27,2,1744,2,77,8720.0,7165.0,-1,0.0,72181.0
app_84,17,13,4,864,4,113,4320.0,5440.0,-1,53.0,30615.0
app_85,13,11,2,720,2,61,3600.0,3145.0,-1,0.0,6890.0
app_86,245,37,208,4032,208,5237,21270.0,44720.0,2,0.0,3147.0
app_87,1817,1758,59,112984,59,178750,564920.0,458320.0,2,0.0,19754.0
app_88,68,57,11,3736,11,332,18416.0,16405.0,-1,29.0,59272.5
app_89,147,76,71,5432,71,3626,27160.0,25400.0,-1,0.0,5362.0
app_9,36,16,20,1696,20,516,8480.0,5675.0,4,0.0,35036.0
app_90,25,11,14,1188,14,361,7160.0,5320.0,2,0.0,1570.0
app_91,149,122,27,7684,27,572,40040.0,101320.0,-1,1.0,951.0
app_92,6,5,1,968,1,280,4840.0,1860.0,-1,0.0,174646.0
app_93,346,113,233,9096,233,5938,45480.0,97235.0,4,0.0,58148.0
app_94,23,19,4,1856,4,119,9280.0,5145.0,-1,0.0,16118.0
app_95,38,21,17,1480,17,446,6992.0,8245.0,-1,0.0,412071.0
app_96,9,5,4,544,4,209,3256.0,5592.0,10,26.0,2682.0
app_97,34,30,4,2912,4,130,14560.0,7990.0,-1,0.0,97946.0
app_98,13,6,7,440,7,181,2032.0,2720.0,2,12.0,19999.0
app_99,22,12,10,848,10,262,5840.0,4760.0,-1,26.0,11026.0
